ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.PATCH.NAME1.EXTEND PRM04 for PLUGOUT,6291800,8,371,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME1.EXTEND PRM05 for PLUGOUT,6291808,8,379,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME1.EXTEND PRM06 for PLUGOUT,6291816,8,387,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME1.EXTEND PRM07 for PLUGOUT,6291824,8,395,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME1.EXTEND PRM08 for PLUGOUT,6291832,8,403,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM09 for PLUGOUT,6291840,8,411,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM10 for PLUGOUT,6291848,8,419,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM11 for PLUGOUT,6291856,8,427,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM12 for PLUGOUT,6291864,8,435,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM13 for PLUGOUT,6291872,8,443,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM14 for PLUGOUT,6291880,8,451,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM15 for PLUGOUT,6291888,8,459,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM16 for PLUGOUT,6291896,8,467,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM17 for PLUGOUT,6291904,8,475,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM18 for PLUGOUT,6291912,8,483,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM19 for PLUGOUT,6291920,8,491,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM20 for PLUGOUT,6291928,8,499,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM21 for PLUGOUT,6291936,8,507,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM22 for PLUGOUT,6291944,8,515,8,int,8,4,"0,2147483647",0
fm.PATCH.NAME2.EXTEND PRM23 for PLUGOUT,6291952,8,523,8,int,8,4,"0,2147483647",0
