ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.usr3X.SEQ_STEP13.STEP SEQ Gate (voice 6),151023637,1,28147,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP13.STEP SEQ Gate (voice 7),151023638,1,28148,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP13.STEP SEQ Gate (voice 8),151023639,1,28149,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP13.STEP SEQ Note Flag,151023640,8,28150,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Slide Flag,151023648,8,28158,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Mute Flag,151023656,8,28166,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 1 Target,151023664,8,28174,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 2 Target,151023672,8,28182,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 3 Target,151023680,8,28190,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 4 Target,151023688,8,28198,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 1 Value,151023696,8,28206,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 2 Value,151023704,8,28214,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 3 Value,151023712,8,28222,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 4 Value,151023720,8,28230,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 1 Transient,151023728,1,28238,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 2 Transient,151023729,1,28239,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 3 Transient,151023730,1,28240,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign 4 Transient,151023731,1,28241,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP13.STEP SEQ Assign Flag,151023732,8,28242,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP13._reserve_,151023740,8,28250,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023748,8,28258,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023756,8,28266,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023764,8,28274,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023772,8,28282,8,int,8,4,"0,0",0
